INDUSTRY,YEAR,SATIS,CONFIRM,IDEAL,OVERALLX,CUSTOMX,WRONGX,OVERALLQ,CUSTOMQ,WRONGQ,PQ,QP,COMP,HANDLE,REPUR,HIGHPTOL,LOWPTOL,AGE,EDUCAT,HISPANIC,RACE_1,RACE_2,RACE_3,RACE_4,RACE_5,INCOME,GENDER,ZIPCODE
3003.0,2015.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,,9.0,,,67.0,4.0,0.0,1.0,,,,,7.0,1.0,25177
3003.0,2015.0,8.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,0.0,,8.0,5.0,,32.0,4.0,0.0,1.0,,,,,1.0,2.0,02474
3003.0,2015.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,4.0,4.0,0.0,,9.0,15.0,,49.0,4.0,0.0,1.0,,,,,,2.0,48374
3003.0,2015.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,,7.0,26.0,,32.0,5.0,0.0,4.0,,,,,5.0,2.0,92614
3003.0,2015.0,9.0,8.0,8.0,8.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0,0.0,,8.0,10.0,,24.0,3.0,0.0,2.0,,,,,4.0,1.0,02125
3003.0,2015.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,0.0,,4.0,,101.0,44.0,4.0,0.0,1.0,,,,,6.0,1.0,19081
3003.0,2015.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,9.0,7.0,0.0,,8.0,26.0,,37.0,5.0,0.0,1.0,,,,,7.0,2.0,25304
3003.0,2015.0,7.0,6.0,5.0,7.0,8.0,3.0,8.0,8.0,9.0,7.0,7.0,0.0,,7.0,,,24.0,4.0,0.0,1.0,,,,,1.0,2.0,12047
3003.0,2015.0,8.0,7.0,5.0,8.0,8.0,4.0,7.0,7.0,4.0,7.0,6.0,0.0,,8.0,26.0,,33.0,4.0,0.0,1.0,,,,,4.0,2.0,53403
3003.0,2015.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,0.0,,9.0,26.0,,34.0,5.0,0.0,1.0,,,,,4.0,2.0,11228
3003.0,2015.0,7.0,5.0,5.0,8.0,8.0,5.0,8.0,8.0,3.0,7.0,7.0,0.0,,8.0,15.0,,37.0,4.0,0.0,1.0,,,,,7.0,1.0,61350
3003.0,2015.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,,6.0,,,34.0,4.0,0.0,2.0,,,,,5.0,1.0,75070
3003.0,2015.0,10.0,8.0,,9.0,10.0,8.0,10.0,10.0,9.0,8.0,8.0,0.0,,,,,61.0,5.0,0.0,1.0,,,,,5.0,1.0,33305
3003.0,2015.0,9.0,7.0,5.0,5.0,6.0,5.0,7.0,8.0,,8.0,9.0,0.0,,6.0,15.0,,30.0,5.0,0.0,1.0,,,,,6.0,1.0,17070
3003.0,2015.0,6.0,6.0,6.0,8.0,7.0,4.0,7.0,7.0,6.0,6.0,6.0,0.0,,8.0,20.0,,57.0,4.0,0.0,1.0,,,,,7.0,1.0,30101
3003.0,2015.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,0.0,,9.0,5.0,,34.0,5.0,0.0,6.0,,,,,5.0,1.0,76065
3003.0,2015.0,9.0,9.0,9.0,8.0,8.0,5.0,7.0,7.0,4.0,9.0,10.0,0.0,,9.0,5.0,,33.0,5.0,0.0,1.0,,,,,7.0,1.0,60515
3003.0,2015.0,6.0,4.0,6.0,9.0,8.0,9.0,8.0,9.0,4.0,5.0,6.0,1.0,6.0,3.0,,26.0,58.0,4.0,1.0,1.0,,,,,7.0,1.0,08551
3003.0,2015.0,8.0,6.0,5.0,9.0,9.0,9.0,9.0,7.0,9.0,7.0,8.0,0.0,,,,,37.0,4.0,0.0,1.0,,,,,6.0,2.0,02474
3003.0,2015.0,8.0,8.0,6.0,7.0,6.0,4.0,7.0,7.0,8.0,8.0,8.0,0.0,,7.0,15.0,,22.0,3.0,0.0,1.0,,,,,2.0,2.0,19121
3003.0,2015.0,4.0,7.0,8.0,7.0,5.0,8.0,6.0,7.0,3.0,5.0,9.0,0.0,,4.0,,24.0,33.0,4.0,0.0,1.0,,,,,4.0,1.0,46256
3003.0,2015.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,0.0,,10.0,101.0,,43.0,4.0,0.0,1.0,,,,,7.0,2.0,01331
3003.0,2015.0,5.0,3.0,1.0,5.0,8.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,10.0,0.0,,30.0,5.0,0.0,2.0,,,,,4.0,1.0,37931
3003.0,2015.0,9.0,9.0,8.0,10.0,9.0,5.0,9.0,8.0,5.0,8.0,8.0,0.0,,9.0,,,33.0,4.0,0.0,1.0,,,,,7.0,1.0,13088
