ID,S1,OT1,OT2,OT3,OT4,OT5,OT6,OT7,OT8,OT9,OT10,OT11,OT12,OS1,OS2,OS3,OS4,OS5,OS6,OS7,OS8,OS9,OS10,WE1,WE2,WE3,WE4,WE5,WE6,WE7,WE8,WE9,WE10,WE11,WE12,WE13,WE14,WE15,WE16,WE17,JP1,JP2,JP3,JP4,JP5,JP6,JP7,JP8,S83,Yaş,YINT,Cns,Ç.il,Sektr,Sektrgenel,Unvan,msl.Çal.sr,MSLCSRSINT,WEAORT,WEBORT,WECORT,OSORT,OTORT,PRFORT
4.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,80.0,42.0,41-45,Erkek,İstanbul,Teknoloji,Teknoloji,Satış Temsilcisi,2.0,0-4,4.8,4.666666666666667,4.5,4.666666666666667,4.4,4.0
5.0,1.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,75.0,44.0,46-50,Erkek,İstanbul,Finans,Finans,Satış Temsilcisi,3.0,15-19,4.8,4.666666666666667,4.5,4.333333333333333,4.2,3.8333333333333335
6.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,70.0,39.0,51-55,Erkek,İstanbul,Teknoloji,Teknoloji,Satış Temsilcisi,2.0,20-24,5.0,4.666666666666667,5.0,4.5,4.0,3.5
7.0,1.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,85.0,50.0,46-50,Erkek,İstanbul,11.0,Finans,Kıdemli Ürün Uzmanı,6.0,15-19,4.4,4.333333333333333,4.75,4.333333333333333,4.4,4.166666666666667
10.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,70.0,41.0,41-45,Erkek,İstanbul,Teknoloji,Teknoloji,Satış Temsilcisi,11.0,0-4,5.0,4.666666666666667,4.75,4.166666666666667,4.4,3.8333333333333335
11.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,65.0,48.0,36-40,Erkek,İstanbul,İlaç & Sağlık,İlaç & Sağlık,Satış Temsilcisi,18.0,0-4,4.8,4.0,4.75,4.166666666666667,4.0,3.5
12.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,70.0,41.0,41-45,Erkek,İstanbul,Teknoloji,Teknoloji,Satış Temsilcisi,11.0,0-4,5.0,4.666666666666667,4.75,4.166666666666667,4.4,3.8333333333333335
14.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,60.0,48.0,36-40,Kadın,Antalya,Finans,Finans,Kıdemli Ürün Uzmanı,17.0,0-4,5.0,4.666666666666667,4.5,4.0,4.8,3.5
17.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,80.0,39.0,51-55,Erkek,İstanbul,İnşaat,İnşaat,Satış Temsilcisi,8.0,5-9,4.6,4.333333333333333,4.5,4.333333333333333,4.8,3.6666666666666665
18.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,70.0,42.0,41-45,Erkek,İstanbul,İlaç & Sağlık,İlaç & Sağlık,Satış Temsilcisi,3.0,0-4,4.6,5.0,4.75,4.0,4.2,3.5
