Name,Unnamed: 1,Test Case Number,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Test Number,1.0,2.0,3.0,4.0,5.0,6.0,7.0
Manual User #1,1,16.2,126.0,88.9,151.8,32.1,40.6,24.4
,2,7.5,71.9,44.5,49.7,17.2,16.0,15.4
,3,11.3,50.4,21.8,38.3,24.5,19.9,16.3
,4,8.2,40.4,26.0,41.8,16.2,16.7,17.8
,5,16.2,40.7,25.6,36.4,14.2,13.8,20.1
,6,,,,,,,
,7,,,,,,,
,8,,,,,,,
,9,,,,,,,
,10,,,,,,,
Average,,10.8,40.55,24.46666666666667,38.833333333333336,15.2,16.599999999999998,17.4
,,,,,,,,
Manual User #2,Test Number,1.0,2.0,3.0,4.0,5.0,6.0,7.0
,1,10.9,331.0,188.5,196.3,106.0,34.6,46.5
,2,9.2,242.7,80.0,117.4,88.9,65.5,37.6
,3,8.3,93.2,50.55,55.6,50.8,53.7,32.4
,4,6.2,45.5,44.52,56.4,35.7,32.1,46.0
,5,6.9,42.7,26.46,51.8,22.0,21.3,18.7
,6,,,,,,,
,7,,,,,,,
,8,,,,,,,
,9,,,,,,,
,10,,,,,,,
Average,,7.65,44.1,40.51,54.6,28.85,26.700000000000003,33.675
,,,,,,,,
Manual User #3,Test Number,1.0,2.0,3.0,4.0,5.0,6.0,7.0
,1,7.6,150.4,130.5,67.6,49.6,37.1,18.1
,2,8.2,67.9,60.0,60.5,23.2,20.5,27.6
,3,6.6,49.7,29.3,46.6,19.9,15.6,18.4
,4,7.6,46.5,21.4,39.0,12.7,14.6,18.0
,5,9.3,38.1,18.6,35.8,14.3,11.2,13.6
,6,,,,,,,
,7,,,,,,,
,8,,,,,,,
,9,,,,,,,
,10,,,,,,,
Average,,7.859999999999999,44.76666666666667,20.0,37.4,13.5,13.799999999999999,16.666666666666668
,,,,,,,,
,Test Number,1.0,2.0,3.0,4.0,5.0,6.0,7.0
Manual User #4,1,5.1,77.9,44.2,69.8,31.3,43.7,37.8
,2,3.8,73.9,36.3,60.6,25.3,24.3,15.4
,3,3.9,55.5,29.7,56.1,15.7,20.2,16.7
,4,3.4,43.5,26.4,40.5,14.2,11.6,17.7
,5,3.8,29.0,23.8,35.3,11.8,10.6,9.9
,6,4.4,26.5,17.1,27.8,15.0,12.0,12.9
,7,,,,,,,
,8,,,,,,,
,9,,,,,,,
,10,,,,,,,
Average,,3.8599999999999994,27.75,24.25,34.53333333333333,14.175,11.4,14.52
,,,,,,,,
,Test Number,1.0,2.0,3.0,4.0,5.0,6.0,7.0
Manual User #5,1,9.7,133.0,48.3,81.7,39.0,49.5,29.3
,2,5.7,79.2,37.8,55.8,43.4,51.3,33.1
,3,5.5,55.6,34.1,100.1,39.9,19.5,45.9
,4,3.6,40.0,24.1,32.4,13.6,16.1,20.7
,5,4.3,40.3,27.4,30.3,35.8,16.2,16.3
,6,,,,,,,
,7,,,,,,,
,8,,,,,,,
,9,,,,,,,
,10,,,,,,,
Average,,4.7749999999999995,40.15,30.85,31.35,33.175,17.266666666666666,18.5
,,,,,,,,
Manual User #6,Test Number,1.0,2.0,3.0,4.0,5.0,6.0,7.0
,1,12.7,107.9,41.0,66.3,30.3,33.7,21.3
,2,8.4,64.7,36.9,50.4,20.8,34.1,16.9
,3,8.8,43.5,34.1,41.1,15.0,23.7,17.3
,4,7.3,30.7,19.6,30.8,12.9,16.1,12.3
,5,7.3,25.8,19.9,27.6,10.2,15.3,9.7
,6,6.7,21.7,12.0,33.3,10.7,14.4,17.6
