Name,Unnamed: 1,Test Case Number,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Test Number,1.0,2.0,3.0,4.0,5.0,6.0,7.0
Non Manual User #1,1,16.7,159.5,44.1,109.4,94.3,49.0,47.2
,2,22.4,70.9,44.6,58.4,35.0,20.7,44.8
,3,4.7,65.8,25.2,34.3,32.3,61.3,26.4
,4,6.4,52.6,51.7,53.7,58.0,23.7,27.4
,5,5.2,42.9,37.3,33.7,17.9,12.5,23.6
,6,3.4,40.8,23.3,35.2,14.1,26.5,20.8
,7,4.4,35.7,18.7,33.5,10.6,13.4,10.3
,8,3.3,25.9,19.3,26.9,16.6,14.2,10.2
,9,,,,,,,
,10,,,,,,,
Average,,4.540000000000001,36.324999999999996,20.433333333333334,31.866666666666664,14.8,13.8,19.783333333333335
,,,,,,,,
Non Manual User #2,Test Number,1.0,2.0,3.0,4.0,5.0,6.0,7.0
,1,36.7,198.3,93.7,88.0,111.0,71.0,55.1
,2,7.7,85.7,15.8,89.6,33.8,43.0,18.6
,3,4.0,35.7,20.8,33.1,14.7,16.9,13.9
,4,4.2,28.4,18.6,24.2,11.7,13.7,12.9
,5,3.3,24.7,19.8,23.7,11.2,15.5,12.6
,6,3.3,24.4,14.8,21.3,9.4,11.5,11.3
,7,4.4,21.9,15.6,19.8,9.3,11.8,10.2
,8,2.9,21.2,12.4,18.7,8.4,10.7,12.4
,9,4.3,20.7,12.4,19.9,9.9,9.9,9.4
,10,,,,,,,
Average,,3.771428571428572,23.55,16.342857142857145,21.266666666666666,10.657142857142858,12.857142857142858,12.662500000000001
,,,,,,,,
Non Manual User #3,Test Number,1.0,2.0,3.0,4.0,5.0,6.0,7.0
,1,4.4,63.5,32.3,66.6,23.2,20.9,16.4
,2,3.6,46.1,38.0,48.5,17.8,15.1,14.9
,3,4.3,37.2,25.6,29.2,11.1,14.8,11.6
,4,4.3,28.0,18.2,30.5,15.5,11.3,11.4
,5,,,,,,,
,6,,,,,,,
,7,,,,,,,
,8,,,,,,,
,9,,,,,,,
,10,,,,,,,
Average,,4.15,32.6,27.266666666666666,29.85,13.3,13.733333333333334,13.575
,,,,,,,,
